No,T,P,phiV,T0_in,Reactor,CO2_in,CO_in,H2_in,N2_in,CO2_out,CO_out,H2_out,MeOH_out,H2O_out,N2_out,tet0,gamma,Density,d,L,phiVout,T0_out,T_K,CO2_conversion,MeOH_selectivity,data_source
141,210.0,20,66.79446565,20.0,0,22.58,0.005,67.72,9.69,21.7024338817082,0.375655737252019,65.8178230813322,0.958084508943655,1.32354273662157,9.82246005414234,0.0,0.981209441344845,870.0,0.00635,0.031576,0.0,20.0,483.15,0.03886475280300263,1.0917519363766988,published Slotboom et al.
179,230.0,50,132.86392895,20.0,0,23.0,0.005,67.22,9.77,20.8277960463277,1.18531066567184,62.9865552228415,1.8591834183539,3.03411933820638,10.1070353085988,0.0,0.964159441576215,810.0,0.00635,0.031576,0.0,20.0,503.15,0.09444365015966528,0.8558972628747807,published Slotboom et al.
168,240.0,50,32.8861061666667,20.0,0,23.37,0.005,67.98,8.64,19.4253854220775,2.34983904031739,60.6974668518522,3.00069741363081,5.33993939583186,9.18667187629023,0.0,0.943367350057255,860.0,0.00635,0.031576,0.0,20.0,513.15,0.16878966957306377,0.7607073782126464,published Slotboom et al.
197,240.0,50,166.952726833333,20.0,0,12.1,0.005,79.76,8.13,9.10066136254364,1.41586461184085,75.4731594855153,2.12299274498923,3.5284200994235,8.35890169568744,0.0,0.959318953968694,860.0,0.00635,0.031576,0.0,20.0,513.15,0.2478792262360628,0.7078202902722815,published Slotboom et al.
203,240.0,50,99.9686094333333,20.0,0,16.04,0.005,77.66,6.29,12.546301781956,1.75182462232296,72.4537400970785,2.72573969939194,4.46695755155685,6.05543624769375,0.0,0.948603775536266,860.0,0.00635,0.031576,0.0,20.0,513.15,0.2178116096037406,0.7801875059826968,published Slotboom et al.
169,250.0,50,32.8861061666667,20.0,0,23.32,0.005,68.03,8.64,19.0218774047774,2.6038477743185,60.1998766679229,3.18125638369068,5.77447107547048,9.21867069381998,0.0,0.940163045436499,860.0,0.00635,0.031576,0.0,20.0,523.15,0.18431057440920245,0.7401502198254356,published Slotboom et al.
217,260.0,50,32.6633393333333,20.0,0,15.91,0.005,78.33,5.75,11.1553570999911,2.13378415566634,70.726230346515,3.88685758360115,6.00985279527298,6.08791801895343,0.0,0.927947395304317,860.0,0.00635,0.031576,0.0,20.0,533.15,0.2988461910753551,0.8174867524948876,published Slotboom et al.
224,178.3262775,40,96.22,16.88,0,25.0,0.005,74.989999,1e-06,24.2796935337838,0.122014424732682,73.6806270356008,0.822651651134325,1.0950123739251,9.80823349941172e-07,0.0,0.982359461102471,775.66,0.003,0.28,92.71,17.16,451.4762775,0.028812258648648024,1.1420856117754263,published Slotboom et al.
184,220.0,50,166.257536766667,20.0,0,23.3,0.005,68.01,8.68,21.842795975956,0.717924408154554,64.9977942451282,1.43811451265898,2.14574341034731,8.85762744775495,0.0,0.97206326937597,860.0,0.00635,0.031576,0.0,20.0,493.15,0.06254094523793989,0.9868999048382787,published Slotboom et al.
215,240.0,50,32.6633393333333,20.0,0,16.04,0.005,77.97,5.99,11.8394524774508,1.8261524428582,71.2330511630529,3.58552954036789,5.4009336128456,6.11488076342455,0.0,0.933282359772823,860.0,0.00635,0.031576,0.0,20.0,513.15,0.2618795213559351,0.8535862339659781,published Slotboom et al.
219,220.0,50,33.3702183333333,20.0,0,12.11,0.005,79.68,8.19,9.22626982551159,0.9800366545655,75.2578757476148,2.55395649473995,3.52346487952425,8.45839639804395,0.0,0.951483832617968,860.0,0.00635,0.031576,0.0,20.0,493.15,0.23812800780251112,0.8856433647413064,published Slotboom et al.
206,210.0,50,100.340275216667,20.0,0,12.05,0.005,79.8,8.14,10.3186654192641,0.422490485983151,77.0029092856957,1.75335018218341,2.16548038119523,8.33710424567841,0.0,0.966152478458666,860.0,0.00635,0.031576,0.0,20.0,483.15,0.143679218318332,1.0127159716512748,published Slotboom et al.
218,210.0,50,33.3702183333333,20.0,0,12.06,0.005,79.78,8.15,9.82936409807357,0.613074016176968,76.244905513207,2.16782183991771,2.77044825049885,8.3743862821259,0.0,0.958501078165073,860.0,0.00635,0.031576,0.0,20.0,483.15,0.18496151757267246,0.9718402891505189,published Slotboom et al.
161,230.0,50,65.77221235,20.0,0,22.99,0.005,67.23,9.77,19.8509669851136,1.88040154058209,61.4711387435917,2.34760973396735,4.21754215356698,10.2323408431782,0.0,0.955151731689794,860.0,0.00635,0.031576,0.0,20.0,503.15,0.13653906110858624,0.7478767259962414,published Slotboom et al.
