No,T,P,phiV,T0_in,Reactor,CO2_in,CO_in,H2_in,N2_in,CO2_out,CO_out,H2_out,MeOH_out,H2O_out,N2_out,tet0,gamma,Density,d,L,phiVout,T0_out
77,240,60,240,20,1,2.56,20.82,60.59,16.03,3.22,13.28,49.98,13.01,0.26,20.25,6.374,0.794626865671642,1097.22222222222,0,0,0,20
78,250,60,240,20,1,2.56,20.82,60.59,16.03,3.26,13.35,50.8,12.3,0.22,20.07,6.429,0.797244684037137,1097.22222222222,0,0,0,20
79,260,60,240,20,1,2.56,20.82,60.59,16.03,3.31,13.77,51.78,11.23,0.23,19.68,6.903,0.808626974483597,1097.22222222222,0,0,0,20
80,230,30,244,20,1,0.005,20.18,64.24,15.57,0.0067,19.83,63.89,0.47,0.01,15.7933,16.108,0.988287090603482,1097.22222222222,0,0,0,20
81,240,30,244,20,1,0.005,20.18,64.24,15.57,0.0165999834000166,19.5999804000196,63.6799363200637,0.78999921000079,9.99999000001e-05,15.9133840866159,16.297,0.981127852709045,1097.22222222222,0,0,0,20
82,250,30,244,20,1,0.005,20.18,64.24,15.57,0.0373999626000374,19.2699807300193,63.3199366800633,1.27999872000128,9.99999000001e-05,16.0925839074161,16.436,0.971243882890338,1097.22222222222,0,0,0,20
83,260,30,244,20,1,0.005,20.18,64.24,15.57,0.0809,18.87,62.91,1.87,0.01,16.2591,16.608,0.960092240998934,1097.22222222222,0,0,0,20
84,230,40,244,20,1,0.005,20.18,64.24,15.57,0.0066999933000067,19.7499802500197,63.8599361400639,0.61999938000062,9.99999000001e-05,15.7632842367158,15.808,0.9856728597739,1097.22222222222,0,0,0,20
85,240,40,244,20,1,0.005,20.18,64.24,15.57,0.0168999831000169,19.4999805000195,63.5099364900635,1.02999897000103,9.99999000001e-05,15.9430840569159,15.341,0.977918912446569,1097.22222222222,0,0,0,20
86,250,40,244,20,1,0.005,20.18,64.24,15.57,0.037999962000038,19.0799809200191,63.009936990063,1.6999983000017,9.99999000001e-05,16.1719838280162,15.145,0.96528722233016,1097.22222222222,0,0,0,20
87,260,40,244,20,1,0.005,20.18,64.24,15.57,0.0758999241000759,18.5699814300186,62.3299376700623,2.52999747000253,9.99999000001e-05,16.4940835059165,14.95,0.950752852099088,1097.22222222222,0,0,0,20
88,260,50,244,20,1,0.005,20.18,64.24,15.57,0.08,18.28,61.59,3.32,0.04,16.69,12.93,0.942161820480405,1097.22222222222,0,0,0,20
89,250,50,244,20,1,0.005,20.18,64.24,15.57,0.0374,18.96,62.33,2.21,0.01,16.4526,12.993,0.961532258584764,1097.22222222222,0,0,0,20
90,240,50,244,20,1,0.005,20.18,64.24,15.57,0.0160999839000161,19.4899805100195,63.049936950063,1.34999865000135,9.99999000001e-05,16.0938839061161,13.063,0.977572563693066,1097.22222222222,0,0,0,20
91,230,50,244,20,1,0.005,20.18,64.24,15.57,0.0068,19.8,63.39,0.8,0.01,15.9932,13.147,0.987308400567015,1097.22222222222,0,0,0,20
92,240,50,244,20,1,0.005,20.18,64.24,15.57,0.0162999837000163,19.4699805300195,63.049936950063,1.32999867000133,9.99999000001e-05,16.1336838663161,13.307,0.976938227746881,1097.22222222222,0,0,0,20
93,250,50,244,20,1,0.005,20.18,64.24,15.57,0.0358,18.97,62.47,2.14,0.01,16.3742,13.44,0.961792851565777,1097.22222222222,0,0,0,20
94,260,50,244,20,1,0.005,20.18,64.24,15.57,0.0752,18.33,61.67,3.2,0.03,16.6948,13.6,0.943509691468216,1097.22222222222,0,0,0,20
95,260,60,244,20,1,0.005,20.18,64.24,15.57,0.073,18.06,61.33,3.79,0.04,16.707,13.844,0.935450465999309,1097.22222222222,0,0,0,20
96,250,60,244,20,1,0.005,20.18,64.24,15.57,0.0336,18.85,62.29,2.47,0.01,16.3464,14.018,0.958015708758083,1097.22222222222,0,0,0,20
97,240,60,244,20,1,0.005,20.18,64.24,15.57,0.0146999853000147,19.4199805800194,62.979937020063,1.4999985000015,9.99999000001e-05,16.0852839147161,14.151,0.975288971480731,1097.22222222222,0,0,0,20
98,230,60,244,20,1,0.005,20.18,64.24,15.57,0.0065999934000066,19.7299802700197,63.4999365000635,0.8999991000009,9.99999000001e-05,15.8633841366159,14.339,0.985018206810867,1097.22222222222,0,0,0,20
