z_m,z_mm,yield_tr_pct,yield_mr_pct,p_h2o_mr_bar,p_h2o_crit_bar,F_CO2_mol_s,F_H2_mol_s,F_CH3OH_mol_s,F_H2O_mol_s,F_CO_mol_s
0.00013309836315361046,0.13309836315361046,0.044703038008992516,0.06378646225593108,7.043018145503698,1.5,8.563987962430619e-05,0.00026520268792451637,1.470030961867001e-06,5.594727130942035e-06,4.141526345169782e-06
0.00017281589851590062,0.17281589851590062,0.058028353132140456,0.0828025466033737,7.040936957838365,1.5,8.474537123862752e-05,0.0002640685437455044,1.589832378140858e-06,6.480151602346223e-06,4.916217371954155e-06
0.00022649859946897947,0.22649859946897946,0.07602849961971812,0.10849158302284592,7.038125640995354,1.5,8.372263938925856e-05,0.00026280337711024205,1.7110255594726877e-06,7.488620578907356e-06,5.817732552801494e-06
0.00028984186904665413,0.28984186904665415,0.09725236646736482,0.13878383640865344,7.034810833841769,1.5,8.27112480167498e-05,0.00026157623805248806,1.8188686156486193e-06,8.48071670005035e-06,6.721250934471755e-06
0.0003746056460106119,0.3746056460106119,0.1256271352914812,0.1792865449413942,7.030379177379039,1.5,8.159281583044678e-05,0.00026023779202862874,1.928831419293887e-06,9.569880062215956e-06,7.729677337632737e-06
0.0004734369231316896,0.4734369231316896,0.15867307507214864,0.22646298995018538,7.025217963432109,1.5,8.053280144987155e-05,0.000258979236122372,2.0280474182666716e-06,1.0591706068560966e-05,8.690422274534479e-06
0.0006039053166012318,0.6039053166012318,0.20223495739475833,0.28866191695973253,7.018414338052098,1.5,7.942026529686718e-05,0.0002576598588942506,2.1313913024707234e-06,1.1648520086331253e-05,9.6995396249407e-06
0.0007536388382575887,0.7536388382575887,0.2521417677051891,0.3599341839533175,7.0106197427968056,1.5,7.843020694899507e-05,0.000256477792456877,2.227302424611511e-06,1.2568864224947874e-05,1.0593595912090838e-05
0.0009478040418547999,0.9478040418547999,0.31671890102591954,0.4521792677536902,7.000533892512022,1.5,7.746449308251476e-05,0.00025530487852097735,2.330775502764941e-06,1.3437371732435822e-05,1.1455712308063946e-05
0.0011664139377226617,1.1664139377226617,0.3892387336924261,0.5557997824640235,6.989207527631139,1.5,7.66722583570795e-05,0.0002543122844872925,2.4308048832510586e-06,1.4113600324212916e-05,1.2147770257881704e-05
0.001444567679107709,1.444567679107709,0.48122512464628137,0.6872805815253081,6.9748408173160446,1.5,7.596157483145162e-05,0.00025337537975254074,2.5437146558509088e-06,1.4669971304139081e-05,1.2745346832294663e-05
0.0017227214204927563,1.7227214204927563,0.5728922414823375,0.8183556536989501,6.960523972189854,1.5,7.546562753808016e-05,0.0002526716022719425,2.6474193565119257e-06,1.5006841703600378e-05,1.313738267826537e-05
