z_m,CO2,H2,CO,MeOH,H2O,N2,temperature_k,pressure_bar
8.139243307686638e-06,0.00475898430373319,0.015235174745061671,2.9204407401299382e-06,1.743114513522516e-11,2.920458171570506e-06,0.0,492.9670955043381,29.999999887659996
9.952115158432282e-06,0.004758402053474324,0.015234592489220504,3.502688207935894e-06,2.022226575337862e-11,3.502708430436705e-06,0.0,492.93063311957764,29.999999862643683
1.1764987009177925e-05,0.004757839393833137,0.015234029824522141,4.065345320673638e-06,2.275080759024745e-11,4.065368071623559e-06,0.0,492.89539882663746,29.99999983762919
1.3577858859923568e-05,0.004757294580038623,0.01523348500611898,4.610156810986362e-06,2.5055090541074117e-11,4.6101818661372325e-06,0.0,492.86128334281585,29.99999981261646
1.676002007067018e-05,0.0047563769492711,0.01523256736816172,5.527783983579198e-06,2.8649979423959254e-11,5.527812633661099e-06,0.0,492.80382570643235,29.999999768715302
1.9942181281416795e-05,0.00475550314139386,0.015231693554037603,6.401588737207943e-06,3.177347489047356e-11,6.401620510902198e-06,0.0,492.74911606836764,29.99999972481915
2.3124342492163408e-05,0.004754667900650019,0.015230858307809066,7.236826738410093e-06,3.45159204875538e-11,7.236861254742256e-06,0.0,492.6968251916651,29.999999680927765
2.630650370291002e-05,0.004753866884601631,0.015230057286898656,8.03784035547302e-06,3.694703658283315e-11,8.0378773031298e-06,0.0,492.64668103869445,29.999999637040933
2.9488664913656635e-05,0.004753096471762549,0.015229286869711384,8.80825102025594e-06,3.912120004794982e-11,8.808290142213177e-06,0.0,492.5984567252159,29.99999959315849
3.366277970673344e-05,0.004752127288247087,0.015228317681132591,9.777432003872858e-06,4.1652925232110054e-11,9.777473657675153e-06,0.0,492.5377963854349,29.999999535603234
3.783689449981025e-05,0.004751199999083166,0.015227390387504766,1.070471893562802e-05,4.3884947382239444e-11,1.0704762821595835e-05,0.0,492.47976505568835,29.999999478054914
4.201100929288706e-05,0.004750310047770915,0.015226500432222853,1.1594668262753605e-05,4.5869876693091816e-11,1.1594714133847437e-05,0.0,492.42407721709,29.999999420513223
4.618512408596387e-05,0.004749453623424394,0.01522564400431857,1.2451090830117829e-05,4.76488504572461e-11,1.2451138480367369e-05,0.0,492.37049405619956,29.999999362977924
5.035923887904068e-05,0.004748627502343367,0.015224817880026211,1.3277210305316634e-05,4.9254570109787184e-11,1.3277259561394237e-05,0.0,492.31881354271167,29.99999930544877
5.609724070922525e-05,0.004747536336187907,0.015223726709927535,1.4368374488993318e-05,5.122623638335396e-11,1.4368425716854027e-05,0.0,492.2505630651822,29.99999922637521
6.183524253940983e-05,0.004746491358521401,0.015222681728771989,1.5413350410712243e-05,5.2970846224336936e-11,1.541340338335879e-05,0.0,492.1852138282431,29.999999147312383
6.757324436959441e-05,0.004745487699240403,0.015221678066378414,1.6417008135061857e-05,5.4527254910697785e-11,1.6417062664357805e-05,0.0,492.1224605425713,29.99999906825984
7.331124619977899e-05,0.004744521265722451,0.015220711630063275,1.7383440254097568e-05,5.592595623162783e-11,1.7383496182310394e-05,0.0,492.0620466326652,29.99999898921718
7.904924802996357e-05,0.004743588580738961,0.015219778942549242,1.831612397212453e-05,5.7191291088191206e-11,1.8316181165800103e-05,0.0,492.003754083464,29.999998910184047
8.696974089713715e-05,0.00474235113254879,0.015218541491232864,1.9553570598971258e-05,5.875446739441011e-11,1.9553629355971008e-05,0.0,491.9264326617562,29.999998801105146
9.489023376431073e-05,0.004741165817686374,0.01521735617359974,2.073888407568375e-05,6.01399377958315e-11,2.0738944218386655e-05,0.0,491.8523900547216,29.99999869204302
0.00010281072663148431,0.00474002723568765,0.015216217589125855,2.1877464836357303e-05,6.137767534269947e-11,2.18775262171108e-05,0.0,491.78128754658127,29.999998582996987
0.00011073121949865789,0.004738930833564537,0.015215121184775802,2.2973865845587555e-05,6.249128389723769e-11,2.2973928340224997e-05,0.0,491.7128395389793,29.999998473966407
0.00011865171236583147,0.004737872732353798,0.015214063081548487,2.403196604779714e-05,6.349965139654325e-11,2.4032029550964025e-05,0.0,491.646802683015,29.999998364950745
0.00012953985562973896,0.004736474644082418,0.015212664990793363,2.5430053077026107e-05,6.474161667488586e-11,2.5430117822343704e-05,0.0,491.55957886478797,29.999998215112473
0.00014042799889364644,0.004735135434950998,0.015211325779457965,2.6769261106021503e-05,6.58437511208875e-11,2.6769326953764014e-05,0.0,491.47606440617017,29.99999806530021
0.00015131614215755393,0.004733849093651676,0.015210039436187825,2.805560141935626e-05,6.682935267638399e-11,2.8055668253086132e-05,0.0,491.39588200568636,29.999997915512896
0.00016220428542146142,0.004732610538025831,0.015208800878787364,2.9294156157389656e-05,6.771682910384441e-11,2.9294223878930617e-05,0.0,491.3187126252068,29.999997765749548
0.0001730924286853689,0.0047314154279560205,0.01520760576710951,3.0489265422889812e-05,6.852094604754646e-11,3.0489333948741465e-05,0.0,491.24428376229304,29.999997616009306
0.0001879852910317462,0.004729844380775198,0.015206034717956333,3.206031161721655e-05,6.950722955117173e-11,3.2060381129564115e-05,0.0,491.14649524165395,29.99999741122973
0.0002028781533781235,0.004728339641167263,0.015204529976596447,3.356505034869038e-05,7.038336741047408e-11,3.356512073749957e-05,0.0,491.0528934618861,29.999997206490036
0.0002177710157245008,0.004726894524711591,0.015203084858572906,3.501016601979741e-05,7.116751130720578e-11,3.501023719317256e-05,0.0,490.96305845883313,29.999997001788557
0.00023266387807087808,0.00472550336583024,0.015201693698278847,3.640132419425512e-05,7.187404573904261e-11,3.640139607452182e-05,0.0,490.87663419613096,29.999996797123817
0.0002475567404172554,0.004724161315641399,0.015200351646809223,3.774337374240849e-05,7.251453569947691e-11,3.7743446263363815e-05,0.0,490.7933158891212,29.99999659249444
0.0002678328254963281,0.004722405648110974,0.015198595977714023,3.949904049015166e-05,7.329702156608273e-11,3.949911379378739e-05,0.0,490.6844050142428,29.99999631395371
0.0002881089105754008,0.004720724413513146,0.01519691474172509,4.118027439201548e-05,7.399271167260421e-11,4.118034839161709e-05,0.0,490.58020781829737,29.999996035473437
0.0003083849956544735,0.004719110188515939,0.015195300515482103,4.2794498765818276e-05,7.461577198565101e-11,4.279457338882305e-05,0.0,490.4802572888801,29.999995757051074
0.0003286610807335462,0.0047175566669087265,0.015193746992751788,4.4348019811077186e-05,7.517745819147661e-11,4.434809499603554e-05,0.0,490.3841565676652,29.99999547868434
0.0003489371658126189,0.004716058440968944,0.01519224876579337,4.584624524135381e-05,7.56868386582084e-11,4.584632093581761e-05,0.0,490.2915652318968,29.99999520037113
0.0003764250702769629,0.004714107353646085,0.015190297677230537,4.779733194414045e-05,7.630685372017691e-11,4.7797408258677106e-05,0.0,490.17112410966706,29.999994823149294
0.0004039129747413069,0.004712239525199484,0.015188429847680698,4.9665159839088416e-05,7.685848326675615e-11,4.966523670527714e-05,0.0,490.0559759092626,29.999994446018047
0.0004314008792056509,0.004710446723905602,0.015186637045398174,5.1457960638679754e-05,7.735279501407049e-11,5.145803799915893e-05,0.0,489.94560182602066,29.99999406897354
0.0004588887836699949,0.004708721942705955,0.015184912263306816,5.318274139261255e-05,7.779860354826045e-11,5.3182819198805796e-05,0.0,489.839560051651,29.999993692012275
0.0004863766881343389,0.0047070591625221515,0.015183249482314035,5.484552117213339e-05,7.820302369479486e-11,5.484559938261037e-05,0.0,489.73747091044254,29.999993315131054
0.000523496436431498,0.004704902988810166,0.015181093307620552,5.700169439389743e-05,7.869359622487149e-11,5.7001773094595155e-05,0.0,489.60530507819715,29.99999280631144
0.000560616184728657,0.004702839579181222,0.01517902989711746,5.9065103586805926e-05,7.913032403856173e-11,5.9065182723540804e-05,0.0,489.47906578033826,29.999992297626015
0.000597735933025816,0.0047008598219260705,0.015177050139078224,6.104486045143826e-05,7.95218585943869e-11,6.104493997869156e-05,0.0,489.3581773584369,29.99999178906894
0.000634855681322975,0.004698955947324639,0.015175146263769245,6.294873470067715e-05,7.98751046658875e-11,6.294881458012339e-05,0.0,489.2421486578229,29.999991280634916
0.000671975429620134,0.004697121271253481,0.015173311587056202,6.478341045210123e-05,8.019564460858747e-11,6.478349065128049e-05,0.0,489.13055690768954,29.999990772319116
0.0007219236225618287,0.004694751640788866,0.015170941955815033,6.715304053045216e-05,8.058325021164801e-11,6.715312111589582e-05,0.0,488.98676224213466,29.99999008851013
0.0007718718155035234,0.004692484908741616,0.01516867522307491,6.941977223481272e-05,8.09285052971171e-11,6.941985316314489e-05,0.0,488.8495834257179,29.99998940489747
0.0008218200084452181,0.004690311011513768,0.015166501325224405,7.159366915631573e-05,8.123817229430994e-11,7.159375039099392e-05,0.0,488.7183825992917,29.99998872147237
0.0008717682013869128,0.004688221354940244,0.015164411668088663,7.368332545359793e-05,8.151765915836444e-11,7.368340696451776e-05,0.0,488.5926146254561,29.999988038226856
0.0009217163943286075,0.004686208536480107,0.015162398849118833,7.569614366237029e-05,8.17713442337572e-11,7.569622542465479e-05,0.0,488.4718095951684,29.999987355153664
0.0009887095820681406,0.00468361835204267,0.015159808664066075,7.82863277974005e-05,8.207725349746656e-11,7.828640986209128e-05,0.0,488.3168647608342,29.999986439238363
0.0010557027698076737,0.0046811417479658965,0.015157332059441645,8.07629316038871e-05,8.234990174068566e-11,8.076301393886377e-05,0.0,488.1692813801219,29.999985523606576
0.0011226959575472068,0.004678767638435793,0.015154957949421483,8.313704089003464e-05,8.259457296661797e-11,8.313712346896778e-05,0.0,488.02835376476776,29.999984608245214
0.00118968914528674,0.004676486545526183,0.015152676856067334,8.541813358143022e-05,8.281549147751564e-11,8.541821637857753e-05,0.0,487.8934779660369,29.99998369314237
0.001256682333026273,0.004674290297057657,0.01515048060719295,8.761438185403085e-05,8.301608631862404e-11,8.761446484710321e-05,0.0,487.76413271261754,29.99998277828718
0.0013462073651834179,0.004671475619977167,0.015147665929625413,9.042905869812618e-05,8.325723231001279e-11,9.04291419275934e-05,0.0,487.59913851655904,29.999981556107848
0.0014357323973405627,0.004668785452798965,0.015144975762015636,9.311922566260689e-05,8.347233158963014e-11,9.311930910579569e-05,0.0,487.44229525223886,29.99998033433155
0.0015252574294977075,0.004666207647650079,0.015142397956480643,9.569703061810605e-05,8.36654972090358e-11,9.569711425468117e-05,0.0,487.2928251801054,29.999979112938917
0.0016147824616548523,0.004663731807586471,0.015139922116067907,9.817287050725063e-05,8.384002657628886e-11,9.817295431829e-05,0.0,487.15006176436634,29.999977891912305
0.0017043074938119971,0.004661348960955172,0.015137539269118887,0.00010055571698055787,8.399859779277527e-11,0.00010055580094958942,0.0,487.01342907021274,29.999976671235657
0.0018128865557987275,0.004658572618242166,0.015134762926056816,0.00010333205952054898,8.417262343322827e-11,0.00010333214366259391,0.0,486.85522741422284,29.99997519120519
0.0019214656177854578,0.004655909712649678,0.0151321000201496,0.00010599496495713534,8.432950074352788e-11,0.00010599504925508438,0.0,486.70454140946475,29.999973711643914
0.002030044679772188,0.004653350018657787,0.015129540325872357,0.00010855465880770134,8.447172600069506e-11,0.0001085547432469734,0.0,486.5607115780464,29.99997223253002
0.0021386237417589183,0.0046508846744296685,0.015127074981384206,0.00011102000290702413,8.460133609212959e-11,0.00011102008747509209,0.0,486.4231654599193,29.99997075384356
0.0022472028037456484,0.004648505947827868,0.015124696254544415,0.00011339872939079406,8.472000943443847e-11,0.00011339881407689212,0.0,486.2914027569721,29.999969275566208
0.0023896456791415196,0.004645505413911718,0.015121695720344254,0.00011639926316672875,8.486141723657958e-11,0.00011639934799304311,0.0,486.1265849975549,29.99996733683354
0.002532088554537391,0.00464262909677978,0.01511881940295526,0.00011927558017321047,8.498892184456982e-11,0.00011927566512498045,0.0,485.97010810639017,29.999965398741057
0.002674531429933262,0.0046398656692905205,0.015116055975232058,0.00012203900754951821,8.510455276817719e-11,0.00012203909261424033,0.0,485.82123490502323,29.999963461257032
0.0028169743053291334,0.004637205320412863,0.015113395626141075,0.0001246993563242603,8.520996657969606e-11,0.0001246994414918987,0.0,485.67932553562304,29.999961524352468
0.0029594171807250046,0.0046346394947533245,0.01511082980028665,0.00012726518188900323,8.530652759478385e-11,0.00012726526715143614,0.0,485.5438208502354,29.9999595880007
0.0031446333180523774,0.00463143229816676,0.015107622603468934,0.00013047237836425054,8.54206845760866e-11,0.00013047246373799925,0.0,485.3764018061307,29.999957070980763
0.00332984945537975,0.004628358048618953,0.015104548353710051,0.00013354662781385316,8.55237767383573e-11,0.00013354671328580747,0.0,485.2180493052518,29.999954554804763
0.003515065592707123,0.004625404551499835,0.015101594856397177,0.0001365001248458249,8.561741155624142e-11,0.00013650021040492537,0.0,485.06796035004925,29.999952039427882
0.0037002817300344957,0.004622561242889031,0.015098751547609321,0.0001393434333771999,8.57029043059702e-11,0.00013934351901573024,0.0,484.92543743291793,29.999949524809132
0.0038854978673618684,0.004619818910454391,0.015096009215013556,0.0001420857657376636,8.578133879856179e-11,0.00014208585145037054,0.0,484.78987063484857,29.99994701091088
0.004126041231526627,0.004616394956482048,0.015092585260853116,0.00014550971961973865,8.587412711913538e-11,0.00014550980542271267,0.0,484.6233168649514,29.999943747087066
