z_m,CO2,H2,CO,MeOH,H2O,N2,temperature_k,pressure_bar
0.0002881068261041987,0.004720723261439129,0.01519689293577324,4.1181426463057716e-05,7.399551713506847e-11,4.117462874097779e-05,0.0,490.580134502818,29.999996035505422
0.00030838269409037123,0.004719108887111452,0.015195277108245867,4.2795800167143454e-05,7.461875196737756e-11,4.278820199759668e-05,0.0,490.48017449625684,29.999995757086594
0.00032865856207654374,0.004717555209491853,0.015193721977700553,4.434947722460306e-05,7.518060769039065e-11,4.434104829918282e-05,0.0,490.3840638771299,29.999995478723434
0.00034893443006271625,0.0047160568212027834,0.015192222136736004,4.584786500398823e-05,7.569015290834418e-11,4.583857613176543e-05,0.0,490.2914622446756,29.999995200413867
0.0003764219451236152,0.004714105510816051,0.015190268857356195,4.7799174770414294e-05,7.631038209968869e-11,4.778867528825706e-05,0.0,490.1710069688235,29.999994823198314
0.0004039094601845142,0.004712237448352599,0.01518839882628364,4.966723668198466e-05,7.686221842464575e-11,4.965547710119343e-05,0.0,490.055843926309,29.999994446073458
0.00043139697524541314,0.004710444402756494,0.015186603812430042,5.146028178357939e-05,7.735673001627878e-11,5.1447214671221795e-05,0.0,489.94545435509485,29.99999406903543
0.0004588844903063121,0.004708719367553814,0.015184876809294564,5.318531654033057e-05,7.780273186180834e-11,5.317089632320356e-05,0.0,489.8393964842607,29.999993692080746
0.00048637200536721107,0.004707056324183039,0.015183211798293067,5.484835950661385e-05,7.820733916522067e-11,5.483254230323615e-05,0.0,489.73729067117705,29.999993315206208
0.0005234910347545913,0.004704899792265687,0.015181052609740602,5.700489093347442e-05,7.869815288514885e-11,5.698712032926479e-05,0.0,489.6051021355785,29.999992806398414
0.0005606100641419715,0.004702836008600784,0.015178986169916801,5.9068674162079085e-05,7.913511262779676e-11,5.904887638175812e-05,0.0,489.4788391440537,29.999992297725
0.0005977290935293517,0.0047008558624760475,0.015177003368076697,6.104881989604482e-05,7.952687046262334e-11,6.102692425121135e-05,0.0,489.35792610211195,29.999991789180125
0.0006348481229167318,0.0046989515850419435,0.015175096435343306,6.295309697770934e-05,7.98803317306899e-11,6.292903557529872e-05,0.0,489.2418719110019,29.999991280758493
0.000671967152304112,0.0046971164929426315,0.015173258688337203,6.478818875705137e-05,8.020107931016078e-11,6.476189624859934e-05,0.0,489.13025384929875,29.999990772455284
0.0007219139912681356,0.004694746300975829,0.015170884924548165,6.715838033728356e-05,8.058895038922278e-11,6.712898662728252e-05,0.0,488.9864236469733,29.999990088668852
0.0007718608302321593,0.004692478984707895,0.015168614037086947,6.94256962620328e-05,8.093445978885204e-11,6.939309234824798e-05,0.0,488.84920788304953,29.999989405079113
0.0008218076691961829,0.004690304482017518,0.0151664359637958,7.160019864577597e-05,8.124437074248937e-11,7.156428012965494e-05,0.0,488.71796879362336,29.999988721677312
0.0008717545081602065,0.004688214200024818,0.015164342111764244,7.369048036195552e-05,8.152409193861794e-11,7.365114701655121e-05,0.0,488.5921613243567,29.999988038455484
0.0009217013471242301,0.004686200737318353,0.015162325079553956,7.570394281679087e-05,8.17780023883891e-11,7.566109821396643e-05,0.0,488.4713156393507,29.999987355406372
0.0009886919534511556,0.004683609689893463,0.01515972924537006,7.829498993893155e-05,8.208419762935382e-11,7.824729054079993e-05,0.0,488.3163162967817,29.999986439534464
0.0010556825597780812,0.004681132190395625,0.01515724695997993,8.077248916615426e-05,8.235711882639353e-11,8.071977531041943e-05,0.0,488.1686764158304,29.999985523946815
0.0011226731661050067,0.0046787571551797965,0.01515486713969443,8.314752413771168e-05,8.260205097642157e-11,8.308964297634722e-05,0.0,488.0276904491523,29.99998460863033
0.0011896637724319323,0.00467647510819972,0.015152580308424377,8.542957089926795e-05,8.282321928662751e-11,8.536637575557998e-05,0.0,487.89275457047006,29.999983693573135
0.0012566543787588579,0.004674277878922208,0.015150378295601659,8.762679998055651e-05,8.302405361333212e-11,8.755814980139772e-05,0.0,487.76334761597974,29.999982778764377
0.0013461745670604798,0.004671461894778209,0.015147555920273607,9.044278388778312e-05,8.326550124384458e-11,9.036663278741681e-05,0.0,487.59827110577555,29.999981556667365
0.0014356947553621018,0.004668770374703683,0.015144858010230203,9.313430374822859e-05,8.348088732805206e-11,9.305042010293333e-05,0.0,487.4413427581543,29.99998033497484
0.0015252149436637238,0.004666191173938607,0.015142272420651533,9.571350431957443e-05,8.367432610870236e-11,9.562166648639702e-05,0.0,487.29178503776257,29.99997911366743
0.0016147351319653457,0.004663713898227881,0.01513978875722884,9.819077985550527e-05,8.384911606325342e-11,9.809077523581092e-05,0.0,487.14893158577996,29.999977892727564
